NAME,OFFICE TELEPHONE,RESIDENCE TELEPHONE,SERVICE MOBILE
AOC,5000,6000,01769-405000
PA to AOC,5001,6001,01678-061383
Aoc Conf Room,5002,,
AOC Staff Offr -01,5003,,
AOC Staff Offr -02,5004,6004,
Base Adjt,5005,6005,01769-405005
BLO,5006,6006,01769-405006
BLO Staff/P-1,5007,,
Base Hq Ord Room,5008,,
Bro Clk,5009,,
Orderly  Offr,5522,,01769-405522
AOC Banglo Gate(MODC),6009,,
OC Ops Wing,5010,6010,01769-405010
PA To OC Ops,5011,,
Adjt OC Ops,5012,,01769-405012
Flt Safety Offr (FSO) ,5013,6013,01769-405013
Flt Safety Staff,5016,,
Grd Safety Offr (GSO),5014,,01769-405014
Ops Wing Orderly Room ,5015,,
OIC Air Mov Flt,5019,6017,01769-405014
Air Mov Flt Staff,5017,,
VIP Lounge -01,5018,,
Base Ops Room,5652,,01769-405060
OC ATS Radar,5660,6660,01769-405660
PA To OC OC ATS Radar,5661,,
Adjt OC  ATS Radar,5662,,01769-405662
Flt Cdr Ops ATS Radar,5663,6663,01769-405663
Flt Cdr Trg ATS Radar,5664,6665,
JCOIC Tech ATS Radar,5665,,01769-405665
ATS Radar Controller,5667,,
ATS Radar Ops Room,5668,,01769-405664
Ord Room ATS Radar,5669,,
JCOIC ATS Radar Sqn,5666,,
Flt Cdr Tech ATS Radar,5493,6664,
Flt Cdr AD ATS Radar,5494,,
Offr Lounge ATS Radar,5498,,
UWO ATS Radar,5499,,
SATCO,5020,6020,01769-405020
JCOIC/Staff ATC SQN,5021,,01769-405021
OIC OPS ATC SQN,5022,6022,01769-405022
OIC TRG ATC SQN,5024,6023,
ATC TOWER JSR,5023,,01769-405023
ATC OPS ROOM ATC SQN,5025,6025,
ATC OFFR LOUNGE ATC SQN,5028,,
CIV AVN  FIRE ATC SQN,23/65114,,
Mobile -16/VAN ,26,,
Mobile-34/HUT,27,,01769-405027
Civil Tower ,,,02-477765348
Shift Controller,5024,,
Ord Room ATC SQN,5029,,
OIC MET SQN,5030,6030,01769-405030
STAFF OPS ROOM MET SQN,5031/5035,,01769-405031
ORD ROOM MET SQN,5033,,
MET Radar Server Room,5036,,
Weather Radar ATC SQN,5037,,
MET Radar |Shelter,5038,,
DFO MET SQN,5032/5034,,01769-405032
OC Maint Wg,5200,6200,01769-405200
PA to OC Maint Wg,5201,,01915-013132
Adjt Maint Wg,5202,6202,01769-405202
Ord Room/Staff Maint Wg,5203,,
Manning Cont Maint Wg,5204,,
UWO Maint Wg,5205,,
Conf Room Maint Wg,5206,,
JCOIC Maint Wg,5208,6208,
Canteen Tech Bite Maint Wg,5609,,
OIC AES Sqn,5210,6210,01769-405210
Staff AES Sqn,5211,,
L-39 Hanger/K-8 Hanger AES,5212,,
B&T Flt / B and T Flt AES,5216,,
OIC PT-6 R&I AES,5214,6214,01769-405214
JCOIC/Staff PT-6 R&I AES,5215,,01769-405215
Detail PT-6 R&I AES,5219,,
OIC Grob R&I,5222,,01769-405735
115 BD R&I,5213/5135,,
Grob R&I Staff,5738,,
New PT-6 Hanger,5738,,
LAN AES,5218,,
Ord Room  AES,5227,,
OIC Cont Sqn,5230,6230,01769-405230
OIC RR&A Sec,5230,,
Staff Cont Sqn,5231,,
RR&A Sec,5232,,
Quality Cont Sec/ QC,5233,,
Maint Cont,5234/5229,,01769-405234
Material Cont ,5235,,
OJT & Trg Cont Sec,5236,,
JCOIC OJT SEc ,5207,,
PDO,5237,,
Spl Vehicle Cont Sqn,5276,,
OIC FM Sqn,5240,6240,01769-405240
Staff FM Sqn,5241,,
GE Workshop,5242,,
AGE Flt FM Sqn,5243,,
Air Cond Shop/ AC shop,5244,,
LSEW Sec FM sqn,5245,,
Battery charging,5246,,
Staff Engg Shop FM Sqn,5247,,
CRS FM Sqn,5248,,
IRS FM Sqn,5249,,
ERS FM sqn,5238,,
Corrosion cont,5239,,
Barrier -16,20,,
Barrier -34,21,,
Arresting Barrier FM Sqn,5616,,
JCOIC FM Sqn,5615,,
OIC C&E Sqn,5250,6250,01769-405240
OIC Comm Flt C&E Sqn,5251,6251,01769-405251
OIC GE Flt C&E Sqn,5253,6251,01769-405251
OIC ICT Flt C&E Sqn,5252,,01769-405252
OIC AE Flt C&E Sqn,5252,,01769-405252
OIC Workshop Flt C&E Sqn,5253,6251,01769-405252
JCOIC/Ord Room C&E Sqn,5254,,
JCOIC Comm Flt C&E Sqn,5255,6255,
JCOIC Bills & Record C&E Sqn,5256,,
Stafff Comm Flt,5257,,
Switch Room,19,6257,
Server Room C&E Sqn,29,,
Tel/Telephone Complain,18,,
WOIC Fault Cont,14,6256,
JCOIC AE Flt C&E Sqn,5259,,
Staff AE Flt PT-6,5657,,
Staff AE Flt Grob,5659,,
K-8 Workshop Radio,5653,6653,
Workshop/Computer/Printer Repair C&E Sqn,5262,,
Staff Radio Workshop,5658,,
JCOIC GE Flt C&E Sqn,5260,6263,
Staff GE Flt/PA Sys/RT C&E Sqn,5263,,
ECR C&E Sqn,5261,,
Signal/FAX Center,5264,,
Cypher/Crypto Center,5265,,
LAN/Internet office/ICT/VTC section C&E,5266,,
Inventory Comm Flt,5267,,
Staff C&E Sqn,5268,,
C&E Gate,5361,,
Pantry Room C&E Sqn,5654,,
V-Set C&E Sqn,5655,,
Fire PABX Sup C&E Sqn,5055,,
NDB Shop C&E Sqn,5269,,
OIC MT Sqn,5270,6270,01769-405270
Ord/Ops Room MT Sqn,5271,,
JCOIC MT R&I,5272,,
MT Store,5273,,
